order_id,customer_id,product_id,quantity,order_date,distributor_id
1157,2157,3001,5,2/22/2026,1001
1158,2158,3002,3,2/22/2026,1002
1159,2159,3003,1,2/22/2026,1003
1160,2160,3001,2,2/23/2026,1001
1161,2161,3002,4,2/23/2026,1002
1162,2162,3003,3,2/23/2026,1003
1153,2153,3003,4,2/20/2026,1003
1154,2154,3001,3,2/21/2026,1001
1155,2155,3002,1,2/21/2026,1002
1156,2156,3003,2,2/21/2026,1003
1157,2157,3001,5,2/22/2026,1001
1158,2158,3002,3,2/22/2026,1002
1159,2159,3003,1,2/22/2026,1003
1160,2160,3001,2,2/23/2026,1001
1161,2161,3002,4,2/23/2026,1002
1162,2162,3003,3,2/23/2026,1003
1149,2149,3002,5,2/19/2026,1002
1150,2150,3003,3,2/19/2026,1003
1151,2151,3001,1,2/20/2026,1001
1149,2149,3002,5,2/19/2026,1002
1150,2150,3003,3,2/19/2026,1003
1151,2151,3001,1,2/20/2026,1001
